Bulb_Data,Fan_Data,Humidity_Data,Temperature_Data,Valve_Data,Message_Temp,Message_Humid
1,1,83.8,28.5,0,Too cold,Well
1,1,86,29.9,0,Too cold,Well
1,1,82.1,30.9,0,Too cold,Well
1,1,77.6,31.5,0,Too cold,Well
1,1,73.9,31.9,0,Too cold,Well
1,1,72.1,32.2,0,Too cold,Well
1,1,71.1,32.7,0,Too cold,Well
1,1,68.9,33,0,Too cold,Well
1,1,67,33.2,0,Too cold,Well
1,1,65.7,33.2,0,Too cold,Well
1,1,65.4,33.6,0,Too cold,Well
1,1,64.3,33.9,0,Too cold,Well
1,1,62.9,33.9,0,Too cold,Well
1,1,62,33.8,0,Too cold,Well
1,1,62.2,34,0,Moderate,Well
1,1,61.4,34.3,0,Moderate,Well
1,1,60.3,34.3,0,Moderate,Well
1,1,59.5,34.3,0,Moderate,Well
1,1,59.7,34.3,0,Moderate,Well
1,1,59.4,34.6,0,Moderate,Well
1,1,58.8,34.6,0,Moderate,Well
1,1,58.3,34.6,0,Moderate,Well
1,1,58.4,34.5,0,Moderate,Well
1,1,58.6,34.7,0,Moderate,Well
1,1,58.1,34.8,0,Moderate,Well
1,1,57.3,34.8,0,Moderate,Well
1,1,56.8,34.7,0,Moderate,Well
1,1,57.6,34.7,0,Moderate,Well
1,1,57.8,34.9,0,Moderate,Well
0,1,57.2,35,0,Moderate,Well
1,0,57,34.9,0,Moderate,Well
1,1,58.2,34.8,0,Moderate,Well
1,1,57.9,35,0,Moderate,Well
1,1,57.5,35.1,0,Moderate,Well
1,1,57.1,35,0,Moderate,Well
1,1,57.1,34.8,0,Moderate,Well
1,1,57.7,35,0,Moderate,Well
1,1,57.4,35.1,0,Moderate,Well
1,1,56.7,35.1,0,Moderate,Well
1,1,56,35,0,Moderate,Well
1,1,56.4,35,0,Moderate,Well
1,1,57.5,35,0,Moderate,Well
1,1,57.2,34.7,0,Moderate,Well
1,1,62.7,34.9,0,Moderate,Well
1,1,64.7,35,0,Moderate,Well
1,1,64.9,35,0,Moderate,Well
1,1,65,34.8,0,Moderate,Well
1,1,65.2,34.6,0,Moderate,Well
1,1,66.4,34.9,0,Moderate,Well
1,1,66.6,34.9,0,Moderate,Well
1,1,66,34.7,0,Moderate,Well
1,1,66,34.6,0,Moderate,Well
1,1,66.9,34.8,0,Moderate,Well
1,1,66.9,34.9,0,Moderate,Well
1,1,66.3,34.8,0,Moderate,Well
1,1,65.9,34.6,0,Moderate,Well
1,1,65.9,34.7,0,Moderate,Well
1,1,66.7,34.9,0,Moderate,Well
1,1,66.7,34.9,0,Moderate,Well
1,1,65.7,34.9,0,Moderate,Well
1,1,65.3,35,0,Moderate,Well
1,1,65.8,36.5,0,Moderate,Well
1,1,62.9,37,0,Moderate,Well
1,1,60.9,36.9,0,Moderate,Well
1,1,60.8,36.5,0,Moderate,Well
1,1,60.9,36.1,0,Moderate,Well
1,1,61.1,35.8,0,Moderate,Well
1,1,62,37.2,0,Moderate,Well
1,1,60,37.4,0,Moderate,Well
1,1,59.3,37.1,0,Moderate,Well
1,1,59.5,36.7,0,Moderate,Well
1,1,59.9,36.2,0,Moderate,Well
1,1,60.6,35.7,0,Moderate,Well
1,1,62,36.7,0,Moderate,Well
0,1,61.9,36.9,0,Moderate,Well
1,0,60.8,36.8,0,Moderate,Well
1,1,60.4,36.5,0,Moderate,Well
1,1,60.5,36.1,0,Moderate,Well
1,1,60.7,35.8,0,Moderate,Well
1,1,61.7,36.8,0,Moderate,Well
1,1,60.8,37.5,0,Moderate,Well
1,1,59.2,37.4,0,Moderate,Well
1,1,58.7,37,0,Moderate,Well
1,1,58.5,36.6,0,Moderate,Well
1,1,58.6,36.2,0,Moderate,Well
1,1,59.6,36.6,0,Moderate,Well
1,1,60.8,38.5,0,Moderate,Well
1,1,57.4,38.8,0,Moderate,Well
1,1,55.9,38.5,0,Moderate,Well
1,1,55.9,38.1,0,Moderate,Well
1,1,56,37.5,0,Moderate,Well
1,1,56.6,36.9,0,Moderate,Well
1,1,57.4,36.4,0,Moderate,Well
1,1,58.7,37.4,0,Moderate,Well
0,1,59.5,37.7,0,Moderate,Well
1,0,58.3,37.6,0,Moderate,Well
1,1,57.8,37.3,0,Moderate,Well
1,1,57.9,36.8,0,Moderate,Well
1,1,58.2,36.4,0,Moderate,Well
1,1,59.1,36.3,0,Moderate,Well
1,1,60.6,37,0,Moderate,Well
1,1,60.4,37.5,0,Moderate,Well
1,1,58.6,37.5,0,Moderate,Well
1,1,57.9,37.3,0,Moderate,Well
1,1,57.7,36.9,0,Moderate,Well
1,1,58,36.4,0,Moderate,Well
1,1,58.5,36.4,0,Moderate,Well
1,1,60.1,37.9,0,Moderate,Well
1,1,58,38.3,0,Moderate,Well
1,1,56.3,38.1,0,Moderate,Well
1,1,56.1,37.7,0,Moderate,Well
1,1,56,37.2,0,Moderate,Well
1,1,56.5,36.6,0,Moderate,Well
1,1,57.4,36.5,0,Moderate,Well
1,1,59.2,37.9,0,Moderate,Well
1,1,57.4,38.2,0,Moderate,Well
1,1,56.3,38,0,Moderate,Well
1,1,55.7,37.6,0,Moderate,Well
1,1,55.6,37.1,0,Moderate,Well
1,1,55.8,36.6,0,Moderate,Well
1,1,55.8,38.4,0,Moderate,Well
1,1,56.9,39.2,0,Moderate,Well
1,1,55.2,39.5,0,Moderate,Well
1,1,52.6,39.1,0,Moderate,Well
1,1,50.9,38.5,0,Moderate,Well
1,1,50.5,37.7,0,Moderate,Well
1,1,51.1,37.5,0,Moderate,Well
1,1,51.9,38.6,1,Moderate,Well
1,1,53.3,40.1,1,Moderate,Well
1,1,53,39.8,1,Moderate,Well
1,1,49,39.2,1,Moderate,Too dry
1,1,48.3,38.5,1,Moderate,Too dry
0,1,48.7,37.9,1,Moderate,Too dry
1,0,49.6,38.7,1,Moderate,Too dry
1,1,51.1,39.6,0,Moderate,Well
1,1,51.5,38.3,1,Moderate,Well
1,1,47.9,37.9,1,Moderate,Too dry
1,1,48.7,39.1,1,Moderate,Too dry
0,1,50.2,40.4,1,Moderate,Well
0,0,50,40.1,1,Moderate,Well
1,0,46.5,40.8,0,Moderate,Too dry
0,1,46.3,39.1,0,Moderate,Too dry
1,0,50.1,38.5,1,Moderate,Well
1,1,45.9,39.2,0,Moderate,Too dry
1,1,46.6,40.5,1,Moderate,Too dry
0,1,48,41.1,1,Too hot,Too dry
1,0,48.5,41,1,Too hot,Too dry
1,1,47.2,40.3,0,Moderate,Too dry
1,1,45.4,39.5,1,Moderate,Too dry
0,1,44.6,38.7,1,Moderate,Too dry
0,0,44.9,39.2,1,Moderate,Too dry
0,0,45.8,40.5,0,Moderate,Too dry
0,0,47.5,41.2,0,Too hot,Too dry
1,0,48.5,40.9,0,Moderate,Too dry
0,1,46.7,40.3,0,Moderate,Too dry
0,0,44.9,38.7,1,Moderate,Too dry
1,0,44.1,39.2,0,Moderate,Too dry
1,1,44.6,41,0,Too hot,Too dry
1,1,47.1,41.1,1,Too hot,Too dry
1,1,47.9,40.4,1,Moderate,Too dry
1,1,45.6,39.6,1,Moderate,Too dry
1,1,43.7,38.8,1,Moderate,Too dry
1,1,44.1,39.3,1,Moderate,Too dry
1,1,45,40.9,1,Moderate,Too dry
1,1,46.6,41.7,1,Too hot,Too dry
1,1,47.5,41.5,1,Too hot,Too dry
1,1,45.9,40.9,1,Moderate,Too dry
1,1,43.9,40,1,Moderate,Too dry
1,1,43.3,39.1,1,Moderate,Too dry
1,1,44.2,38.9,1,Moderate,Too dry
1,1,45.2,40.2,1,Moderate,Too dry
0,1,46.5,41.3,1,Too hot,Too dry
1,0,48.1,41.5,0,Too hot,Too dry
1,1,47.6,41,1,Too hot,Too dry
1,1,45.5,40.2,1,Moderate,Too dry
0,1,44.3,39.3,1,Moderate,Too dry
1,0,44.2,38.7,0,Moderate,Too dry
1,1,45,39.8,1,Moderate,Too dry
1,1,46.5,41.1,1,Too hot,Too dry
1,1,48.4,41.6,1,Too hot,Too dry
1,1,48.4,41.3,1,Too hot,Too dry
1,1,46.4,40.3,1,Moderate,Too dry
0,1,44.8,39.4,1,Moderate,Too dry
1,1,44.4,38.8,1,Moderate,Too dry
1,1,45.1,39.8,1,Moderate,Too dry
1,1,46.1,41.1,1,Too hot,Too dry
1,1,47.8,41.6,1,Too hot,Too dry
1,1,48,41.3,1,Too hot,Too dry
1,1,45.9,40.3,1,Moderate,Too dry
